zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
HW,LPJ-GUESS,LAI,E_soil,Piecewise linear,0.08371509170903824,0.9571895463613287,0.15878591267840395,0.6931698210409957,3.8841215319927
HW,LPJ-GUESS,LAI,E_soil,Symbolic regression,0.03214210516110616,0.9837584565720138,0.16319336642955645,0.676238418161537,3.9288387272817915
HD,CLASSIC,P,E_soil,Equal-width bins,0.6360955703150619,0.5263125566522238,0.1288764277202069,0.37968469912779346,2.353139649019554
HD,CLASSIC,P,E_soil,Equal-count bins,0.7540999637511081,0.4744329233419336,0.1161728322464579,0.32384200563135734,2.224203807322733
HD,CLASSIC,P,E_soil,LOWESS,0.7767289701963125,0.47249444452493383,0.11569816330309218,0.3204162174043498,2.2207073837961553
HD,CLASSIC,P,E_soil,Polynomial degree 3,0.7744071136317732,0.474944889831615,0.116298195799861,0.3284889146312187,2.22763348859389
HD,CLASSIC,P,E_soil,GAM,0.7777365563921013,0.47142709330492694,0.11543680451425337,0.32213944621878426,2.20692057776717
HD,CLASSIC,P,E_soil,Piecewise linear,0.761694917068145,0.48814311889715295,0.11953000281776478,0.34386150273600496,2.252438988721504
HD,CLASSIC,P,E_soil,Symbolic regression,0.7578378306665351,0.49207768178217426,0.12049344631318024,0.33594544602144083,2.2365115527658834
HD,LPJ-GUESS,P,E_soil,Equal-width bins,0.30329560919271137,0.8212142822651265,0.16170729677454135,0.5876373568262772,3.3219454231324748
HD,LPJ-GUESS,P,E_soil,Equal-count bins,0.3832079561445141,0.7296514359203343,0.14367743454837656,0.4927013325037978,3.0641109711362535
HD,LPJ-GUESS,P,E_soil,LOWESS,0.3691852652252601,0.7942034451436649,0.15638852730248431,0.5152081879133869,3.2630374454493896
HD,LPJ-GUESS,P,E_soil,Polynomial degree 3,0.41172437619651114,0.7669574644140317,0.15102345513203,0.5364846173839656,3.289651775878473
HD,LPJ-GUESS,P,E_soil,GAM,0.42290312437776645,0.7596354321202287,0.14958165598813186,0.5352810840807923,3.252975693896735
HD,LPJ-GUESS,P,E_soil,Piecewise linear,0.4126819033409055,0.7663330278061756,0.150900495804551,0.5384040604238505,3.287534884581545
HD,LPJ-GUESS,P,E_soil,Symbolic regression,0.37550502124884744,0.7902151058433698,0.15560317373423968,0.5206673796342367,3.2845724557449265
HD,CLASSIC,LAI,E_soil,Equal-width bins,-0.018658288599743722,0.8211268886456435,0.2010666452398263,0.6565039289150991,3.010111454290485
HD,CLASSIC,LAI,E_soil,Equal-count bins,0.6087686407651256,0.6271194682673649,0.15356068519090718,0.4738471492469748,2.5765952775363754
HD,CLASSIC,LAI,E_soil,LOWESS,0.6123677832746588,0.6225732423962032,0.15244746578833143,0.47366419728993975,2.5337839433550964
HD,CLASSIC,LAI,E_soil,Polynomial degree 3,0.47878205122538453,0.7219218726354367,0.17677463868644747,0.5835307753341129,2.7966010290895182
HD,CLASSIC,LAI,E_soil,GAM,0.5722658009764529,0.6539845769493606,0.16013905614841129,0.5225708490513165,2.601407546628816
HD,CLASSIC,LAI,E_soil,Piecewise linear,0.5746522528124289,0.6521576413267081,0.15969170042081873,0.5044387649581117,2.6799672189858135
HD,CLASSIC,LAI,E_soil,Symbolic regression,0.5934827023831415,0.6375584905357127,0.15611685429960911,0.49002316936184176,2.616797793043156
HD,LPJ-GUESS,LAI,E_soil,Equal-width bins,0.07956212423697617,0.9632077009539619,0.18966756535707704,0.6871570150998796,3.6954813671103954
