zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
CW,LPJ-GUESS,LAI,E_soil,Symbolic regression,1.4807465625183427,1.7860713588887769,1.7860713588887769,0.4305968730875378
CD,CLASSIC,P,E_soil,Equal-width bins,2.601744339914214,1.3861310615696287,1.3043658532841709,0.2393574039234533
CD,CLASSIC,P,E_soil,Equal-count bins,2.427218699437465,1.0,1.2691216080083916,0.2092915228725131
CD,CLASSIC,P,E_soil,LOWESS,2.4951305114871434,1.417938507745503,1.9716494403546032,0.3410265801848285
CD,CLASSIC,P,E_soil,Polynomial degree 3,2.276523460419911,1.6284726534693212,1.628472653469321,0.7429159612298745
CD,CLASSIC,P,E_soil,GAM,2.172923101453198,1.3796370355126193,1.3796370355126193,0.3749387733278975
CD,CLASSIC,P,E_soil,Piecewise linear,2.147680464238509,1.2189244600488756,1.2189244600488756,0.1324191399619976
CD,CLASSIC,P,E_soil,Symbolic regression,3.2715300780733543,1.6517127682242378,1.6517127682242383,0.707527899809543
CD,LPJ-GUESS,P,E_soil,Equal-width bins,2.372577028109742,1.0210082280193085,1.0142107659906674,0.5497147625393988
CD,LPJ-GUESS,P,E_soil,Equal-count bins,1.705810046987968,1.0524583981071634,1.0916682448954207,0.8769054275055423
CD,LPJ-GUESS,P,E_soil,LOWESS,2.404295295016074,1.3857822501301391,1.8281768978566983,0.453515993467673
CD,LPJ-GUESS,P,E_soil,Polynomial degree 3,2.2100478053806403,1.9097586676730016,1.9097586676730012,2.882541995909331
CD,LPJ-GUESS,P,E_soil,GAM,2.7139342861752156,1.592349287315029,1.592349287315029,12.804251438011232
CD,LPJ-GUESS,P,E_soil,Piecewise linear,3.934293500536899,1.3442054688612837,1.3442054688612837,18.04854342494901
CD,LPJ-GUESS,P,E_soil,Symbolic regression,4.405296167112862,1.3755759136081536,1.3755759136081538,18.493633053426738
CD,CLASSIC,LAI,E_soil,Equal-width bins,1.5711374235913338,1.764888124690864,1.6185397999521596,0.6424765051747223
CD,CLASSIC,LAI,E_soil,Equal-count bins,2.426666587481165,1.0266339312128068,80.39364290955335,
