property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range
Non-linearity,Linear,Non-linear,standardized early slope,0.8426,0.3226,0.52,Non-linearity,Linear,0,0.9022,0.0561,0.7011,1.0708,0.7909,1.0104,0.2195,0.3697,1000,2.3689,9.2765,True,True
Non-linearity,Linear,Non-linear,raw early slope,0.6777,0.3172,0.3605,Non-linearity,Linear,0,0.7209,0.0436,0.5697,0.8681,0.637,0.8003,0.1632,0.2984,1000,2.2088,8.2691,True,True
Non-linearity,Linear,Non-linear,standardized overall slope,0.8877,1.1471,0.2594,Non-linearity,Linear,0,0.9016,0.0313,0.8134,0.9895,0.8377,0.9601,0.1224,0.176,1000,2.1191,8.2994,True,True
Non-linearity,Linear,Non-linear,MIC-r2,0.001,0.0786,0.0776,Non-linearity,Linear,0,0.0204,0.0106,-0.0409,0.0354,-0.0079,0.0318,0.0397,0.0763,1000,1.9527,7.3011,True,True
Non-linearity,Linear,Non-linear,distance correlation,0.9841,0.971,0.0131,Non-linearity,Linear,0,0.9844,0.0018,0.9788,0.9897,0.9808,0.9876,0.0068,0.011,1000,1.9308,7.4219,True,True
Non-linearity,Linear,Non-linear,curve amplitude,0.7074,0.8295,0.1221,Non-linearity,Linear,0,0.7207,0.0168,0.6665,0.7797,0.6882,0.7552,0.0671,0.1132,1000,1.8204,7.2818,True,True
Non-linearity,Linear,Non-linear,eta squared,0.9624,0.9812,0.0188,Non-linearity,Linear,0,0.9645,0.0037,0.9506,0.9755,0.9572,0.9713,0.0141,0.0249,1000,1.3359,5.1439,True,False
Non-linearity,Linear,Non-linear,r2,0.9737,0.9879,0.0142,Non-linearity,Linear,0,0.974,0.0028,0.9648,0.9837,0.9683,0.979,0.0107,0.0188,1000,1.3202,5.0392,True,False
Non-linearity,Linear,Non-linear,buffer width mean,0.6933,0.4932,0.2001,Non-linearity,Linear,0,0.6996,0.0419,0.5746,0.8244,0.6181,0.7842,0.1662,0.2498,1000,1.2041,4.7722,True,False
Saturation,No saturation,Saturation,raw early slope,0.7177,1.7539,1.0362,Saturation,Saturation,1,1.7244,0.0451,1.5635,1.8606,1.6443,1.8146,0.1703,0.297,1000,6.0861,22.9993,True,True
Saturation,No saturation,Saturation,pearson r,0.9876,0.8599,0.1276,Saturation,Saturation,1,0.8625,0.0065,0.8427,0.8838,0.8495,0.8745,0.025,0.0412,1000,5.0973,19.5995,True,True
Saturation,No saturation,Saturation,raw overall slope,0.7541,0.5875,0.1665,Saturation,Saturation,1,0.5817,0.0089,0.5559,0.6188,0.5646,0.5992,0.0346,0.0629,1000,4.8128,18.6873,True,True
Saturation,No saturation,Saturation,raw late slope,0.7631,0.0223,0.7408,Saturation,Saturation,1,0.0828,0.0487,-0.0542,0.2524,-0.0104,0.1726,0.183,0.3066,1000,4.0476,15.1976,True,True
Saturation,No saturation,Saturation,standardized late slope,0.9064,0.0266,0.8797,Saturation,Saturation,1,0.0985,0.0579,-0.0649,0.2981,-0.0124,0.2063,0.2187,0.363,1000,4.0224,15.1945,True,True
Saturation,No saturation,Saturation,standardized early slope,0.8525,2.0916,1.2392,Saturation,Saturation,1,2.0524,0.0833,1.7646,2.2954,1.8985,2.2226,0.3241,0.5308,1000,3.8234,14.8697,True,True
Saturation,No saturation,Saturation,distance correlation,0.9857,0.8949,0.0908,Saturation,Saturation,1,0.895,0.0063,0.8767,0.9138,0.8822,0.907,0.0249,0.0371,1000,3.6467,14.3738,True,True
Saturation,No saturation,Saturation,standardized overall slope,0.8957,0.7006,0.195,Saturation,Saturation,1,0.6923,0.0248,0.6071,0.7623,0.6424,0.7383,0.0959,0.1552,1000,2.0339,7.8517,True,True
Saturation,No saturation,Saturation,spearman rho,0.9877,0.9024,0.0852,Saturation,Saturation,1,0.9153,0.0122,0.8792,0.9497,0.8901,0.9378,0.0477,0.0706,1000,1.787,6.9973,True,True
Saturation,No saturation,Saturation,MIC-r2,-0.0017,0.2027,0.2045,Saturation,Saturation,1,0.1622,0.0316,0.0779,0.2515,0.1046,0.2257,0.121,0.1736,1000,1.6892,6.4609,True,True
Saturation,No saturation,Saturation,amplitude,0.6814,0.6165,0.0648,Saturation,Saturation,1,0.6109,0.0107,0.579,0.6576,0.5907,0.6317,0.041,0.0786,1000,1.582,6.0436,True,False
