model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples,hsic
LPJ-GUESS,2010,CW,lai,evspsblsoi,0.17644368410961253,0.33549185270365695,22416,0.0003707685526088831
LPJ-GUESS,2010,CW,lai,evspsblveg,0.5477771160693972,0.8597919496141726,22416,0.021029222961091398
LPJ-GUESS,2010,CW,lai,tran,0.3642462605437442,0.8613520608766136,22416,0.0013404853102865141
LPJ-GUESS,2010,CW,precipitation,evapotrans,0.2613525132543152,0.5875174941946016,22416,0.019153365452967024
LPJ-GUESS,2010,CW,precipitation,evspsblsoi,0.15223074497399855,0.4242520077732167,22416,0.0013356636120548688
LPJ-GUESS,2010,CW,precipitation,evspsblveg,0.2153415308588542,0.43529154705431417,22416,0.0003516122746804916
LPJ-GUESS,2010,CW,precipitation,tran,0.23449131700420417,0.5129944139556237,22416,0.01313705529430613
LPJ-GUESS,2010,HD,lai,evapotrans,0.49145297144651523,0.8063560586925074,11877,0.0006874780650496887
LPJ-GUESS,2010,HD,lai,evspsblsoi,0.22738970219758983,0.5643164404846648,11877,0.0011118520001513468
LPJ-GUESS,2010,HD,lai,evspsblveg,0.5647261359573086,0.8207523581355356,11877,0.04917376128754249
LPJ-GUESS,2010,HD,lai,tran,0.5917115613357611,0.8690759578610046,11877,0.0011265973572745069
LPJ-GUESS,2010,HD,precipitation,evapotrans,0.4915283986383278,0.6383192878519981,11877,0.05180601688783646
LPJ-GUESS,2010,HD,precipitation,evspsblsoi,0.2600436035015474,0.511631214902243,11877,0.0029430142130414975
LPJ-GUESS,2010,HD,precipitation,evspsblveg,0.4392397644588435,0.6225760594919474,11877,6.434117076635082e-05
LPJ-GUESS,2010,HD,precipitation,tran,0.4280822502798899,0.6376746330017358,11877,0.033609930018883356
LPJ-GUESS,2010,HW,lai,evapotrans,0.4377543109273652,0.7190021563909401,13283,0.000799069659027844
LPJ-GUESS,2010,HW,lai,evspsblsoi,0.13447801406635346,0.23844115451492032,13283,0.0003614475012039142
LPJ-GUESS,2010,HW,lai,evspsblveg,0.46990244914008217,0.7644555714753216,13283,0.0053498258134872965
LPJ-GUESS,2010,HW,lai,tran,0.4770599752015667,0.7783807688924109,13283,0.0010838374556071872
LPJ-GUESS,2010,HW,precipitation,evapotrans,0.3171979952703143,0.6055160148295708,13283,0.021502710311242044
LPJ-GUESS,2010,HW,precipitation,evspsblsoi,0.1377916274216215,0.3112780656685534,13283,0.0007945762769997002
LPJ-GUESS,2010,HW,precipitation,evspsblveg,0.35064797717031604,0.6283865497444728,13283,0.002009535920759965
LPJ-GUESS,2010,HW,precipitation,tran,0.25263087670031786,0.4603562421051433,13283,0.010985892612218823
LPJ-GUESS,2011,CD,lai,evapotrans,0.4964671011179824,0.7147169681584793,10676,0.0010602695830017185
LPJ-GUESS,2011,CD,lai,evspsblsoi,0.2137804800947229,0.466375192559369,10676,0.0005801732029023878
LPJ-GUESS,2011,CD,lai,evspsblveg,0.5993821353382016,0.7829806222925726,10676,0.051299929034058854
LPJ-GUESS,2011,CD,lai,tran,0.5853190296061894,0.8686805646183186,10676,0.020007057358402948
LPJ-GUESS,2011,CD,precipitation,evapotrans,0.24405556112938626,0.4971424675999707,10676,0.013657754148463035
LPJ-GUESS,2011,CD,precipitation,evspsblsoi,0.20976308043020928,0.4099848378692965,10676,0.002643191521572583
LPJ-GUESS,2011,CD,precipitation,evspsblveg,0.24714748449265878,0.4701807924614139,10676,4.253622241971807e-05
LPJ-GUESS,2011,CD,precipitation,tran,0.23200982429655137,0.46424903817204843,10676,0.008912677921651674
LPJ-GUESS,2011,CW,lai,evapotrans,0.35508713080808396,0.794539546821134,22363,0.0010749996409226833
LPJ-GUESS,2011,CW,lai,evspsblsoi,0.17180762416318757,0.31693817564699467,22363,0.00045892919682884593
LPJ-GUESS,2011,CW,lai,evspsblveg,0.5419369335065579,0.8517234157552895,22363,0.0210373296429858
LPJ-GUESS,2011,CW,lai,tran,0.3749206458214226,0.8549896952648512,22363,0.001598995046884655
LPJ-GUESS,2011,CW,precipitation,evapotrans,0.22267391860190483,0.4886218137113456,22363,0.01422149399649145
LPJ-GUESS,2011,CW,precipitation,evspsblsoi,0.10283274024736938,0.3799027950068635,22363,0.0010372157298632048
LPJ-GUESS,2011,CW,precipitation,evspsblveg,0.19217506936666034,0.4692492430426439,22363,0.0005393301114444073
LPJ-GUESS,2011,CW,precipitation,tran,0.19828743985205044,0.4663947258727223,22363,0.009692555467407686
LPJ-GUESS,2011,HD,lai,evapotrans,0.5157970369916826,0.7903752686544403,11878,0.0007518072695810337
